Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Weekly_Sales,Percentage,IsHoliday
1,2010-02-05,42.31,2.572,NA,NA,NA,NA,NA,211.0963582,8.106,1643690.9,0.0568562506714,0
1,2010-02-12,38.51,2.548,NA,NA,NA,NA,NA,211.2421698,8.106,1641957.44,0.0557416749101,1
1,2010-02-19,39.93,2.514,NA,NA,NA,NA,NA,211.2891429,8.106,1611968.17,0.036459249332,0
1,2010-02-26,46.63,2.561,NA,NA,NA,NA,NA,211.3196429,8.106,1409727.59,-0.0935768913514,0
1,2010-03-05,46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,1554806.68,-0.000294302083406,0
1,2010-03-12,57.79,2.667,NA,NA,NA,NA,NA,211.3806429,8.106,1439541.59,-0.0744071604382,0
1,2010-03-19,54.58,2.72,NA,NA,NA,NA,NA,211.215635,8.106,1472515.79,-0.0532054920582,0
1,2010-03-26,51.45,2.732,NA,NA,NA,NA,NA,211.0180424,8.106,1404429.92,-0.0969831739155,0
1,2010-04-02,62.27,2.719,NA,NA,NA,NA,NA,210.8204499,7.808,1594968.28,0.0255287027145,0
1,2010-04-09,65.86,2.77,NA,NA,NA,NA,NA,210.6228574,7.808,1545418.53,-0.00633067121445,0
1,2010-04-16,66.32,2.808,NA,NA,NA,NA,NA,210.4887,7.808,1466058.28,-0.0573575256354,0
1,2010-04-23,64.84,2.795,NA,NA,NA,NA,NA,210.4391228,7.808,1391256.12,-0.105453630785,0
1,2010-04-30,67.41,2.78,NA,NA,NA,NA,NA,210.3895456,7.808,1425100.71,-0.0836923212267,0
1,2010-05-07,72.55,2.835,NA,NA,NA,NA,NA,210.3399684,7.808,1603955.12,0.0313070385487,0
1,2010-05-14,74.78,2.854,NA,NA,NA,NA,NA,210.3374261,7.808,1494251.5,-0.0392299197799,0
1,2010-05-21,76.44,2.826,NA,NA,NA,NA,NA,210.6170934,7.808,1399662.07,-0.100048794145,0
1,2010-05-28,80.44,2.759,NA,NA,NA,NA,NA,210.8967606,7.808,1432069.95,-0.0792112567782,0
1,2010-06-04,80.69,2.705,NA,NA,NA,NA,NA,211.1764278,7.808,1615524.71,0.0387460244974,0
1,2010-06-11,80.43,2.668,NA,NA,NA,NA,NA,211.4560951,7.808,1542561.09,-0.008167940816,0
1,2010-06-18,84.11,2.637,NA,NA,NA,NA,NA,211.4537719,7.808,1503284.06,-0.0334221870148,0
1,2010-06-25,84.34,2.653,NA,NA,NA,NA,NA,211.3386526,7.808,1422711.6,-0.08522846518,0
1,2010-07-02,80.91,2.669,NA,NA,NA,NA,NA,211.2235333,7.787,1492418.14,-0.0404087289925,0
1,2010-07-09,80.48,2.642,NA,NA,NA,NA,NA,211.108414,7.787,1546074.18,-0.00590910302255,0
1,2010-07-16,83.15,2.623,NA,NA,NA,NA,NA,211.1003854,7.787,1448938.92,-0.0683648887738,0
1,2010-07-23,83.36,2.608,NA,NA,NA,NA,NA,211.2351443,7.787,1385065.2,-0.109434252993,0
1,2010-07-30,81.84,2.64,NA,NA,NA,NA,NA,211.3699032,7.787,1371986.6,-0.117843498405,0
1,2010-08-06,87.16,2.627,NA,NA,NA,NA,NA,211.5046621,7.787,1605491.78,0.0322950763398,0
1,2010-08-13,87,2.692,NA,NA,NA,NA,NA,211.6394211,7.787,1508237.76,-0.0302370694182,0
1,2010-08-20,86.65,2.664,NA,NA,NA,NA,NA,211.6033633,7.787,1513080.49,-0.0271233030338,0
1,2010-08-27,85.22,2.619,NA,NA,NA,NA,NA,211.5673056,7.787,1449142.92,-0.0682337213656,0
1,2010-09-03,81.21,2.577,NA,NA,NA,NA,NA,211.5312479,7.787,1540163.53,-0.00970951792905,0
1,2010-09-10,78.69,2.565,NA,NA,NA,NA,NA,211.4951902,7.787,1507460.69,-0.030736707937,1
1,2010-09-17,82.11,2.582,NA,NA,NA,NA,NA,211.5224596,7.787,1430378.67,-0.0802987117489,0
1,2010-09-24,80.94,2.624,NA,NA,NA,NA,NA,211.5972246,7.787,1351791.03,-0.130828795331,0
1,2010-10-01,71.89,2.603,NA,NA,NA,NA,NA,211.6719895,7.838,1453329.5,-0.0655418446618,0
1,2010-10-08,63.93,2.633,NA,NA,NA,NA,NA,211.7467544,7.838,1508239.93,-0.030235674157,0
1,2010-10-15,67.18,2.72,NA,NA,NA,NA,NA,211.8137436,7.838,1459409.1,-0.0616327987082,0
1,2010-10-22,69.86,2.725,NA,NA,NA,NA,NA,211.8612937,7.838,1345454.0,-0.13490336298,0
1,2010-10-29,69.64,2.716,NA,NA,NA,NA,NA,211.9088438,7.838,1384209.22,-0.109984628865,0
1,2010-11-05,58.74,2.689,NA,NA,NA,NA,NA,211.9563939,7.838,1551659.28,-0.00231800943822,0
1,2010-11-12,59.61,2.728,NA,NA,NA,NA,NA,212.003944,7.838,1494479.49,-0.0390833273417,0
1,2010-11-19,51.41,2.771,NA,NA,NA,NA,NA,211.8896737,7.838,1483784.18,-0.0459601709297,0
1,2010-11-26,64.52,2.735,NA,NA,NA,NA,NA,211.7484333,7.838,1955624.11,0.257422283361,1
1,2010-12-03,49.27,2.708,NA,NA,NA,NA,NA,211.607193,7.838,1548033.78,-0.00464912433142,0
1,2010-12-10,46.33,2.843,NA,NA,NA,NA,NA,211.4659526,7.838,1682614.26,0.081883095021,0
1,2010-12-17,49.84,2.869,NA,NA,NA,NA,NA,211.4053124,7.838,1891034.93,0.215892894466,0
1,2010-12-24,52.33,2.886,NA,NA,NA,NA,NA,211.4051222,7.838,2387950.2,0.535398227953,0
1,2010-12-31,48.43,2.943,NA,NA,NA,NA,NA,211.4049321,7.838,1367320.01,-0.120844010734,1
1,2011-01-07,48.27,2.976,NA,NA,NA,NA,NA,211.4047419,7.742,1444732.28,-0.071069663606,0
1,2011-01-14,35.4,2.983,NA,NA,NA,NA,NA,211.4574109,7.742,1391013.96,-0.105609334214,0
1,2011-01-21,44.04,3.016,NA,NA,NA,NA,NA,211.8272343,7.742,1327405.42,-0.146508193662,0
1,2011-01-28,43.83,3.01,NA,NA,NA,NA,NA,212.1970577,7.742,1316899.31,-0.153263385909,0
